sentence,label,intent,intent_few_shot_random,intent_few_shot_specific_filled
back ache issue,ORTHO_FEATURES,ORTHO_FEATURES,ORTHO_FEATURES,COMPARISON
I m looking mattress for slip disc problem,ORTHO_FEATURES,ORTHO_FEATURES,ORTHO_FEATURES,COMPARISON
Do we have anything for backache,ORTHO_FEATURES,ORTHO_FEATURES,ORTHO_FEATURES,COMPARISON
I am cervical and Lombard section problem,ORTHO_FEATURES,ORTHO_FEATURES,ORTHO_FEATURES,COMPARISON
Is there orthopedic mattress available,ORTHO_FEATURES,ORTHO_FEATURES,ORTHO_FEATURES,ORTHO_FEATURES
What are the key features of the SOF Ergo mattress,ERGO_FEATURES,ABOUT_SOF_MATTRESS,ERGO_FEATURES,ERGO_FEATURES
Features of Ergo mattress,ERGO_FEATURES,ERGO_FEATURES,ERGO_FEATURES,ERGO_FEATURES
SOF ergo,ERGO_FEATURES,ABOUT_SOF_MATTRESS,ERGO_FEATURES,ERGO_FEATURES
Ergo mattress,ERGO_FEATURES,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ERGO_FEATURES
Ergo features,ERGO_FEATURES,ERGO_FEATURES,ERGO_FEATURES,ERGO_FEATURES
Ergo,ERGO_FEATURES,ERGO_FEATURES,ERGO_FEATURES,ERGO_FEATURES
Tell me about SOF Ergo mattress,ERGO_FEATURES,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ERGO_FEATURES
What about ergo,ERGO_FEATURES,ERGO_FEATURES,ERGO_FEATURES,ERGO_FEATURES
What is responsive foam,ERGO_FEATURES,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ERGO_FEATURES
SOF ergo features,ERGO_FEATURES,ERGO_FEATURES,ERGO_FEATURES,ERGO_FEATURES
Does this have ergonomic support?,ERGO_FEATURES,ERGO_FEATURES,ERGO_FEATURES,ERGO_FEATURES
What is the difference between the Ergo & Ortho variants,COMPARISON,COMPARISON,COMPARISON,COMPARISON
Difference between Ergo & Ortho Mattress,COMPARISON,COMPARISON,COMPARISON,COMPARISON
Difference between the products,COMPARISON,COMPARISON,COMPARISON,COMPARISON
Compare the 2 mattresses,COMPARISON,COMPARISON,COMPARISON,COMPARISON
Product comparison,COMPARISON,COMPARISON,COMPARISON,COMPARISON
 Comparison,COMPARISON,COMPARISON,COMPARISON,COMPARISON
Which mattress to buy?,COMPARISON,LEAD_GEN,PRODUCT_VARIANTS,COMPARISON
Is the mattress good for my back,COMPARISON,ORTHO_FEATURES,ORTHO_FEATURES,COMPARISON
Mattress comparison,COMPARISON,COMPARISON,COMPARISON,COMPARISON
Compare ergo & ortho variants,COMPARISON,COMPARISON,COMPARISON,COMPARISON
I wanna know the difference,COMPARISON,COMPARISON,COMPARISON,COMPARISON
What is the warranty period?,WARRANTY,WARRANTY,WARRANTY,WARRANTY
Warranty,WARRANTY,WARRANTY,WARRANTY,WARRANTY
Does mattress cover is included in warranty,WARRANTY,WARRANTY,WARRANTY,WARRANTY
How long is the warranty you offer on your mattresses and what does it cover,WARRANTY,WARRANTY,WARRANTY,WARRANTY
Do you offer warranty ,WARRANTY,WARRANTY,WARRANTY,WARRANTY
Tell me about the product warranty,WARRANTY,WARRANTY,WARRANTY,WARRANTY
Share warranty information,WARRANTY,WARRANTY,WARRANTY,WARRANTY
Need to know the warranty details,WARRANTY,WARRANTY,WARRANTY,WARRANTY
Want to know about warranty,WARRANTY,WARRANTY,WARRANTY,WARRANTY
would interested in warranty details,WARRANTY,WARRANTY,WARRANTY,WARRANTY
How does the 100 night trial work,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER
What is the 100-night offer,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER
Trial details,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER
How to enroll for trial,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER
100 night trial,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER
Is the 100 night return trial applicable for custom size as well,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER
100 night,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER
Trial offer on customisation,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER
do you provide exchange,100_NIGHT_TRIAL_OFFER,RETURN_EXCHANGE,RETURN_EXCHANGE,100_NIGHT_TRIAL_OFFER
Can I try a mattress first,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER
I want to check offers,100_NIGHT_TRIAL_OFFER,OFFERS,OFFERS,OFFERS
What is 100 Night trial offer,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER
Need 100 days trial,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER
100 days trial,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER
Can I get free trial,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER
100 Nights trial version,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER
 Can you give me 100 night trial ,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER
100 free Nights,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER,100_NIGHT_TRIAL_OFFER
I want to change the size of the mattress.,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION
Need some help in changing size of the mattress,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION
How can I order a custom sized mattress,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION
Custom size,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION
Customise size ,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION
Customisation is possible?,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION
Will I get an option to Customise the size,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION
Can mattress size be customised?,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION
Mattress size change,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION
Can you help with the size?,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER
How do I know what size to order?,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER
How do I know the size of my bed?,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER
Inches,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER
Length,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER
Feet,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER
6*3,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER
Help me with the size chart,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER
What are the available sizes?,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER
Can I please have the size chart?,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER
Share the size structure,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER
What are the sizes available?,WHAT_SIZE_TO_ORDER,PRODUCT_VARIANTS,WHAT_SIZE_TO_ORDER,PRODUCT_VARIANTS
Want to know the custom size chart,WHAT_SIZE_TO_ORDER,SIZE_CUSTOMIZATION,SIZE_CUSTOMIZATION,WHAT_SIZE_TO_ORDER
Mattress size,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER
 What size to order?,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER
Show me all available sizes,WHAT_SIZE_TO_ORDER,PRODUCT_VARIANTS,WHAT_SIZE_TO_ORDER,PRODUCT_VARIANTS
What are the sizes,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER
What are the available mattress sizes,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER
King Size,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER
Inches,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER,WHAT_SIZE_TO_ORDER
Get in Touch,LEAD_GEN,LEAD_GEN,LEAD_GEN,LEAD_GEN
Want to talk to an live agent,LEAD_GEN,LEAD_GEN,LEAD_GEN,LEAD_GEN
 Please call me,LEAD_GEN,LEAD_GEN,LEAD_GEN,LEAD_GEN
Do you have Live agent,LEAD_GEN,LEAD_GEN,LEAD_GEN,LEAD_GEN
Want to get in touch,LEAD_GEN,LEAD_GEN,LEAD_GEN,LEAD_GEN
 Schedule a callback ,LEAD_GEN,LEAD_GEN,LEAD_GEN,LEAD_GEN
 Arrange a call back ,LEAD_GEN,LEAD_GEN,LEAD_GEN,LEAD_GEN
How to get in touch?,LEAD_GEN,LEAD_GEN,LEAD_GEN,LEAD_GEN
Interested in buying,LEAD_GEN,LEAD_GEN,LEAD_GEN,PRODUCT_VARIANTS
I want to buy this,LEAD_GEN,LEAD_GEN,LEAD_GEN,PRODUCT_VARIANTS
How to buy?,LEAD_GEN,LEAD_GEN,LEAD_GEN,PRODUCT_VARIANTS
How to order,LEAD_GEN,LEAD_GEN,LEAD_GEN,PRODUCT_VARIANTS
I want to order,LEAD_GEN,LEAD_GEN,LEAD_GEN,PRODUCT_VARIANTS
Connect to an agent,LEAD_GEN,LEAD_GEN,LEAD_GEN,LEAD_GEN
Get In Touch,LEAD_GEN,LEAD_GEN,LEAD_GEN,LEAD_GEN
I want a call back,LEAD_GEN,LEAD_GEN,LEAD_GEN,LEAD_GEN
I need a call back,LEAD_GEN,LEAD_GEN,LEAD_GEN,LEAD_GEN
Please call me back,LEAD_GEN,LEAD_GEN,LEAD_GEN,LEAD_GEN
Call me now,LEAD_GEN,LEAD_GEN,LEAD_GEN,LEAD_GEN
I want to buy,LEAD_GEN,LEAD_GEN,LEAD_GEN,PRODUCT_VARIANTS
Need a call from your representative,LEAD_GEN,LEAD_GEN,LEAD_GEN,LEAD_GEN
Do you deliver to my pincode,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE
Check pincode,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE
Is delivery possible on this pincode,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE
Will you be able to deliver here,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE
Can you make delivery on this pin code?,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE
Can you deliver on my pincode,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE
Do you deliver to,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE
Can you please deliver on my pincode,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE
Need a delivery on this pincode,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE
Can I get delivery on this pincode,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE,CHECK_PINCODE
Do you have any showrooms in Delhi state,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Do you have any distributors in Mumbai city,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Do you have any retailers in Pune city,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
 Where can I see the product before I buy,DISTRIBUTORS,LEAD_GEN,DISTRIBUTORS,PRODUCT_VARIANTS
What is the price for size (x ft x y ft)? What is the price for size (x inches x y inches)?,DISTRIBUTORS,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
Distributors ,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Distributors/Retailers/Showrooms,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Where is your showroom,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Do you have a showroom,DISTRIBUTORS,LEAD_GEN,DISTRIBUTORS,DISTRIBUTORS
Can I visit SOF mattress showroom,DISTRIBUTORS,ABOUT_SOF_MATTRESS,DISTRIBUTORS,DISTRIBUTORS
Where is your showroom,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Nearby Show room,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Do you have Showroom,DISTRIBUTORS,LEAD_GEN,DISTRIBUTORS,DISTRIBUTORS
Need store,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Need Nearby Store,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Nearest shop,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Demo store,DISTRIBUTORS,LEAD_GEN,DISTRIBUTORS,DISTRIBUTORS
Is there any offline stores ,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Head office,DISTRIBUTORS,LEAD_GEN,LEAD_GEN,DISTRIBUTORS
Shops nearby,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Where was this shop,DISTRIBUTORS,LEAD_GEN,DISTRIBUTORS,DISTRIBUTORS
Offline stores,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Do you have store,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Where is the shop ,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Is it available in shops,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
You have any branch,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Store in,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
We want dealer ship,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Any shop that I can visit,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Dealership,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Shop near by,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Need dealership,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Outlet,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Store near me,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS,DISTRIBUTORS
Price of mattress,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
Mattress cost,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
Cost of mattress,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
How much does a SOF mattress cost,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
Cost,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
Custom size cost,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
What does the mattress cost,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
I need price,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
Price Range,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
Mattress price,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
Price of Mattress,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
Want to know the price,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
How Much Cost,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
Price,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
Rate,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
MRP,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
Low price,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
What will be the price,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
Cost of Bed,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
Cost of Mattress,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
Mattress cost,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
What is the cost,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST,MATTRESS_COST
What are the product variants,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS
Product Variants,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS
Help me with different products,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS
What are the mattress variants,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS
I want to check products,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS
What are the SOF mattress products,PRODUCT_VARIANTS,ABOUT_SOF_MATTRESS,PRODUCT_VARIANTS,PRODUCT_VARIANTS
Show me products,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS
Which product is best,PRODUCT_VARIANTS,COMPARISON,PRODUCT_VARIANTS,COMPARISON
 Which mattress is best,PRODUCT_VARIANTS,COMPARISON,PRODUCT_VARIANTS,COMPARISON
I want to buy a mattress,PRODUCT_VARIANTS,LEAD_GEN,LEAD_GEN,PRODUCT_VARIANTS
Products,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS
View products,PRODUCT_VARIANTS,LEAD_GEN,PRODUCT_VARIANTS,PRODUCT_VARIANTS
Type of foam used,PRODUCT_VARIANTS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,PRODUCT_VARIANTS
Mattress variants,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS
Mattress Features,PRODUCT_VARIANTS,ABOUT_SOF_MATTRESS,PRODUCT_VARIANTS,PRODUCT_VARIANTS
I am looking the mattress,PRODUCT_VARIANTS,LEAD_GEN,LEAD_GEN,PRODUCT_VARIANTS
Type of mattress,PRODUCT_VARIANTS,ABOUT_SOF_MATTRESS,PRODUCT_VARIANTS,PRODUCT_VARIANTS
Show more mattress,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS
What are the mattress features,PRODUCT_VARIANTS,ABOUT_SOF_MATTRESS,PRODUCT_VARIANTS,PRODUCT_VARIANTS
What are your products,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS,PRODUCT_VARIANTS
Tell me about SOF mattress features,PRODUCT_VARIANTS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,PRODUCT_VARIANTS
How is SOF different from other mattress brands,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,COMPARISON
Why SOF mattress,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS
About SOF Mattress,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS
What is SOF mattress,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS
Tell me about SOF mattresses,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS
Who are SOF mattress,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS
What is SOF,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS
How is SOF mattress different from,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,COMPARISON
Tell me about SOF Mattress,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS
Tell me about company,ABOUT_SOF_MATTRESS,LEAD_GEN,LEAD_GEN,ABOUT_SOF_MATTRESS
 Who is SOF mattress,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS,ABOUT_SOF_MATTRESS
It's been a month,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY
Why so long?,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY
I did not receive my order yet,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY
Why so many days,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY
It's delayed,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY
Almost 1 month over,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY,DELAY_IN_DELIVERY
